,Unnamed: 0,Top ten entry date,Single,Artist(s),Peak,Peak date,Weeks in top ten,Spotify id
2289,2289,January 9,Centerfold,The J. Geils Band,1,February 6,12,1ynmMEK1fkyiZ6Z6F3ThEt
2290,2290,January 9,Turn Your Love Around,George Benson,5,February 6,6,6a899bXlCuViXW2Qs8Rdqo
2291,2291,January 16,The Sweetest Thing (I've Ever Known),Juice Newton,7,February 13,7,4bRQodyVPba7f8mo3zyemR
2292,2292,January 30,Hooked on Classics,Royal Philharmonic Orchestra,10,January 30,2,1MuxlHUi1FrV7Wv6MHS3Ol
2293,2293,February 6,Shake It Up,The Cars,4,February 27,7,3ZBzJbqwV2gQUAe4ofghOo
2294,2294,February 13,Open Arms,Journey,2,February 27,10,2w4EpqGasrz9qdTwocx54t
2295,2295,February 13,Sweet Dreams,Air Supply,5,March 20,7,1ausxnZuFBzNn5sP3vaIe2
2296,2296,February 20,That Girl,Stevie Wonder,4,March 20,9,5oNi6zJgIcGh8pv3XlmZb3
2297,2297,February 20,Leader of the Band,Dan Fogelberg,9,March 6,4,3O4s2m47MFhnGqmpkjoKYk
2298,2298,February 27,I Love Rock 'n' Roll,Joan Jett & the Blackhearts,1,March 20,12,2Cdvbe2G4hZsnhNMKyGrie
2299,2299,March 6,Mirror Mirror,Diana Ross,8,March 6,3,5E7suGUJJwsAmUMEfRdCr6
2300,2300,March 6,Take It Easy on Me,Little River Band,10,March 6,2,5l7E3KLriUC0UlVE9fiGus
2301,2301,March 13,We Got the Beat,The Go-Go's,2,April 10,9,5kz9GDBTX846OXwqWoyKzF
2302,2302,March 20,Make a Move on Me,Olivia Newton-John,5,April 3,5,0orro3KPiXYaiFyalsT9Cq
2303,2303,March 20,Pac-Man Fever,Buckner & Garcia,9,March 27,3,1jinux2Q5Afix30KCtZiuz
2304,2304,March 27,Chariots of Fire,Vangelis,1,May 8,9,3zmXCcrMKpGho2sTRZG1Ux
2305,2305,March 27,Freeze Frame,The J. Geils Band,4,April 10,8,1ynmMEK1fkyiZ6Z6F3ThEt
2306,2306,April 3,Don't Talk to Strangers,Rick Springfield,2,May 22,11,1syhTK7LlvpeWdZNsZARP0
2307,2307,April 3,Key Largo,Bertie Higgins,8,April 17,4,41v56RunWqxgqTD4H2cwOD
2308,2308,April 10,Do You Believe in Love,Huey Lewis and the News,7,April 17,4,43LjRHyyetSWnPpW7CWThG
2309,2309,April 24,Ebony and Ivory,Paul McCartney and Stevie Wonder,1,May 15,12,3fVSMbeq8tY3G85yxcJwRU
2310,2310,April 24,867-5309/Jenny,Tommy Tutone,4,May 22,8,6iX1f3r7oUJnMbGgQ2gx1j
2311,2311,April 24,'65 Love Affair,Paul Davis,6,May 22,7,5nBp8F6tekSrnFg8G2Pvug
2312,2312,May 1,I've Never Been to Me,Charlene,3,May 22,6,6DMOzL2zPZBAW0LDYCYLWm
2313,2313,May 8,Did It in a Minute,Hall & Oates,9,May 22,4,6p0xJTJjGzITE8Sse5ZHkS
2314,2314,May 15,The Other Woman,Ray Parker Jr.,4,June 12,7,6QAJbtf8Qb69AKsp8soPmN
2315,2315,May 22,Don't You Want Me,The Human League,1,July 3,12,3L7RtEcu1Hw3OXrpnthngx
2316,2316,May 22,Get Down on It,Kool & the Gang,10,May 22,2,2je56j0xuoTi1gYkLLMlJU
2317,2317,May 29,Always on My Mind,Willie Nelson,5,June 12,6,2xYQTU2bbg6WVAmpY1eae4
2318,2318,June 5,Rosanna,Toto,2,July 3,11,37BTh5g05cxBIRYMbw8g2T
2319,2319,June 5,Heat of the Moment,Asia,4,June 26,6,1nmZ8yqKkfooOuYvtFctDp
2320,2320,June 12,Crimson and Clover,Joan Jett & the Blackhearts,7,June 19,3,4do0Z0rHdFUV3RSMxMQsdq
2321,2321,June 12,It's Gonna Take a Miracle,Deniece Williams,10,June 12,2,6AeOM7N0rK3tYOINY2k5qy
2322,2322,June 19,Hurts So Good,John Cougar,2,August 7,16,67eX1ovaHyVPUinMHeUtIM
2323,2323,June 19,Let It Whip,Dazz Band,5,July 17,6,2UCgWpa2r4ytWueNItYbWE
2324,2324,June 26,Love's Been a Little Bit Hard on Me,Juice Newton,7,July 10,4,6K1b1cx8qPa6kFMPdtbdLE
2325,2325,July 3,Eye of the Tiger,Survivor,1,July 24,15,2KH16WveTQWT6KOG9Rg6e2
2326,2326,July 3,Caught Up in You,38 Special,10,July 3,3,3jYRpwbctfqB77uU7T7K3U
2327,2327,July 10,Tainted Love,Soft Cell,8,July 17,3,0cGG2EouYCEEC3xfa0tDFV
2328,2328,July 17,Hold Me,Fleetwood Mac,4,July 24,10,4kRMsLX7bJqjIfK44qJ9h6
2329,2329,July 17,Only the Lonely,The Motels,9,July 17,4,3hJmN0RlUK8F7grOt3nW0a
2330,2330,July 24,Abracadabra,Steve Miller Band,1,September 4,14,2E2ZVy2fxslpAUgbb4zu84
2331,2331,July 24,Keep the Fire Burnin',REO Speedwagon,7,August 14,6,07wMk0CZVZRMqhF66r40Z8
2332,2332,July 31,Hard to Say I'm Sorry,Chicago,1,September 11,12,5nDSJO4909uNzMcZH3CggS
2333,2333,July 31,Even the Nights Are Better,Air Supply,5,September 4,8,09bRmFRViBORKQ2miwp04P
2334,2334,August 14,Vacation,The Go-Go's,8,August 21,4,0oc7YoWV783fGr2GbdcIrz
2335,2335,August 14,Wasted on the Way,"Crosby, Stills & Nash",9,August 21,5,3LMe4h7CrPLJrViTVzfDot
2336,2336,August 21,Take It Away,Paul McCartney,10,August 21,5,2t2gZb03AlCSlBzbWeeHsM
2337,2337,September 4,You Should Hear How She Talks About You,Melissa Manchester,5,September 18,5,3mYh6egfMyl0Dek8r9ciK6
2338,2338,September 11,Jack & Diane,John Cougar,1,October 2,10,2IlT65thKQQw248mhk2PjQ
2339,2339,September 18,Eye in the Sky,The Alan Parsons Project,3,October 16,8,39qYD4J4BKvZMQgxfXl5bv
2340,2340,September 25,Who Can It Be Now?,Men at Work,1,October 30,9,5rfJ2Bq2PEL8yBjZLzouEu
2341,2341,September 25,Somebody's Baby,Jackson Browne,7,October 16,6,4SlCb8n5Jw52astU7GWPyV
2342,2342,September 25,Love Is in Control (Finger on the Trigger),Donna Summer,10,September 25,1,4mH6UBtgnFdjeBlS8HRIUX
2343,2343,October 2,I Keep Forgettin' (Every Time You're Near),Michael McDonald,4,October 23,7,5GvWrvLIqoHroq7YvO260M
2344,2344,October 9,You Can Do Magic,America,8,October 16,6,5dXED6MP1v1qghkaniirb1
2345,2345,October 9,I Ran (So Far Away),A Flock of Seagulls,9,October 23,4,0nIDF0qdk5iAIla7rZxxys
2346,2346,October 16,Heart Attack,Olivia Newton-John,3,November 6,7,4i8ndPX530q3xSslpHeXz8
2347,2347,October 23,Up Where We Belong,Joe Cocker and Jennifer Warnes,1,November 6,7,4U6mBgGP8FXN6UH4T3AJhu
2348,2348,October 30,Heartlight,Neil Diamond,5,November 13,6,3dC25ffC9Zlr8UysO3qqW3
2349,2349,November 6,Truly,Lionel Richie,1,November 27,10,7AslBsiVLQAGrmFmi79ZeK
2350,2350,November 6,Gloria,Laura Branigan,2,November 27,10,15ob9SMGLWrexuPuyuMjKl
2351,2351,November 13,Muscles,Diana Ross,10,November 13,6,45a2uakbDbXOizyjyLv7dN
2352,2352,November 20,Mickey,Toni Basil,1,December 11,10,5G9KcZaxfCysfv4EryCB9b
2353,2353,November 20,Maneater,Hall & Oates,1,December 18,13,7j74lucZ59vqN67Ipe2ZcY
2354,2354,November 20,Steppin' Out,Joe Jackson,6,December 11,8,2KY0QUeRY3IPuJI1gyU9BJ
2355,2355,December 11,Rock This Town,Stray Cats,9,December 11,5,2SknHmwY6GiOv6aK7YRahd
2356,2356,November 27,The Girl Is Mine,Michael Jackson and Paul McCartney,2,January 8,10,4IT6vDuKprKl6jyVndlY8V
2357,2357,December 4,Dirty Laundry,Don Henley,3,January 8,10,7LFer4drCtWSyD8oxORZtC
2358,2358,December 11,Sexual Healing,Marvin Gaye,3,January 29,10,3VZmChrnVW8JK6ano4gSED
2359,2359,December 25,Down Under,Men at Work,1,January 15,10,3ZZq9396zv8pcn5GYVhxUi
2360,2360,January 15,Africa,Toto,1,February 5,6,2374M0fQpWi3dLnB54qaLX
2361,2361,January 15,"Baby, Come to Me",Patti Austin and James Ingram,1,February 19,9,65bvH7egzl7h9f7uJmqGV4
2362,2362,January 15,Rock the Casbah,The Clash,8,January 22,5,56KqaFSGTb7ifpt16t5Y1N
2363,2363,January 15,Heartbreaker,Dionne Warwick,10,January 15,2,3iMLRCGHLQ135LtMjKLkO8
2364,2364,January 29,Shame on the Moon,Bob Seger & The Silver Bullet Band,2,February 26,8,1Gxaks4MTbjMCAQ20rx4Iy
2365,2365,January 29,You and I,Eddie Rabbitt and Crystal Gayle,7,February 12,6,3PkvYP6223QO3xlW2THd1x
2366,2366,February 5,You Can't Hurry Love,Phil Collins,10,February 5,3,4YwbSZaYeYja8Umyt222Qf
2367,2367,February 12,Stray Cat Strut,Stray Cats,3,February 26,5,5yogRsv5ggT6iCnFgvdpho
2368,2368,February 19,Billie Jean,Michael Jackson,1,March 5,11,5ChkMS8OtdzJeqyybCc9R5
2369,2369,February 19,Do You Really Want to Hurt Me,Culture Club,2,March 26,9,1I6q6nwNjNgik1Qe8Oi0Y7
2370,2370,February 19,Hungry Like the Wolf,Duran Duran,3,March 26,9,39lSeqnyjZJejRuaREfyLL
2371,2371,February 26,We've Got Tonight,Kenny Rogers and Sheena Easton,6,March 26,7,5vXsj8L4DK1gGQ43BBG028
2372,2372,February 26,Pass the Dutchie,Musical Youth,10,February 26,2,1BkY0N8ChFk2mdLbAUu8ZK
2373,2373,March 5,Back on the Chain Gang,The Pretenders,5,March 19,5,6WHMSwKQlxbw12xePbw55g
2374,2374,March 12,You Are,Lionel Richie,4,March 26,4,2SQkCUj5rYrFCRKnaTbYYr
2375,2375,March 12,Separate Ways (Worlds Apart),Journey,8,March 19,7,4ECNtOnqzxutZkXP4TE3n3
2376,2376,March 19,One on One,Hall & Oates,7,April 9,6,1ANmX8emjTaiR5BPeswuNi
2377,2377,March 19,Mr. Roboto,Styx,3,April 16,8,7C0rG4oWO7VeZcffyW1sK9
2378,2378,March 26,Twilight Zone,Golden Earring,10,March 26,2,3ztKHejzVoxJRKSZHFFMdJ
2379,2379,April 9,Come On Eileen,Dexys Midnight Runners,1,April 23,6,3MrWxJaD2AT0W9DjWF64Vm
2380,2380,April 9,Jeopardy,The Greg Kihn Band,2,May 7,7,7LmDmvqagpX0PKxveGtZTa
2381,2381,April 9,Beat It,Michael Jackson,1,April 30,10,1OOtq8tRnDM8kG2gqUPjAj
2382,2382,April 16,Der Kommissar,After the Fire,5,April 30,5,0ROtxObpdDA25o5DriPSOk
2383,2383,April 23,Let's Dance,David Bowie,1,May 21,10,3ix6K4wZY29bCujrSznwFZ
2384,2384,April 23,She Blinded Me with Science,Thomas Dolby,5,May 14,8,6HYf9ZEZKuxy581QVmYA6c
2385,2385,April 30,Overkill,Men at Work,3,June 4,8,3iA4foXIFpekwHyma7pRs1
2386,2386,April 30,Little Red Corvette,Prince,6,May 21,6,4N1dFbXmRng8qJ3KdJrbLr
2387,2387,May 7,I Won't Hold You Back,Toto,10,May 7,1,7D4EtbE7LfQiH8CWj7fQoz
2388,2388,May 14,Flashdance... What a Feeling,Irene Cara,1,May 28,14,3cbV252akVZInSvJk7jAYX
2389,2389,May 14,Solitaire,Laura Branigan,7,May 21,4,17RxTPSIGg0WP92dAiZliC
2390,2390,May 21,My Love,Lionel Richie,5,June 11,5,6l9fOwFZ2pZzGUAVnPM76l
2391,2391,May 21,Time (Clock of the Heart),Culture Club,2,June 18,9,7J2Oy8QVCd5DWMMnBuDzd0
2392,2392,May 28,Straight from the Heart,Bryan Adams,10,May 28,2,5eaK7PLGwyDXmHfTdWZZuE
2393,2393,June 11,Always Something There to Remind Me,Naked Eyes,8,June 11,2,3yWAyRHfclztY1TzF2gAUD
2394,2394,June 11,Don't Let It End,Styx,6,July 2,5,0huaODTI1xKsfJJk8EJEkf
2395,2395,June 11,Affair of the Heart,Rick Springfield,9,June 18,3,6VtP2yma4hAdriyLHAunYN
2396,2396,June 18,Electric Avenue,Eddy Grant,2,July 2,8,N
2397,2397,June 18,Family Man,Hall & Oates,6,June 25,3,5KiDWqKsU0EfXQJdnWSOn9
2398,2398,June 25,Every Breath You Take,The Police,1,July 9,13,1JSTJqkT5qHq8MDJnJbRE1
2399,2399,June 25,Never Gonna Let You Go,Sérgio Mendes,4,July 9,8,5u8bqfaYSh0qVTsgslPknf
2400,2400,June 25,Too Shy,Kajagoogoo,5,July 9,4,6WEBIVqiEsevfgJefTyuQQ
2401,2401,July 2,Wanna Be Startin' Somethin',Michael Jackson,5,July 16,6,1hu2s7qkm5bo03eODpRQO3
2402,2402,July 2,She's a Beauty,The Tubes,10,July 2,1,7HF88mJXq8DpotZohoW2mo
2403,2403,July 9,Come Dancing,The Kinks,6,July 16,3,0cTwMCvozZBj8jCq6o27nk
2404,2404,July 9,Our House,Madness,7,July 23,4,1qV6e4ITnfGmA6m6Vklvbi
2405,2405,July 16,Is There Something I Should Know?,Duran Duran,4,August 6,6,0lJK5ZmN9K4IaEi6QHj5W8
2406,2406,July 23,Stand Back,Stevie Nicks,5,August 20,6,6sleEAnBH0sZMe0pOQNidG
2407,2407,July 23,She Works Hard for the Money,Donna Summer,3,August 6,8,3FlOciKDqFlTMPeC7t92Qy
2408,2408,July 30,Sweet Dreams (Are Made of This),Eurythmics,1,September 3,9,1TfqLAPs4K3s2rJMoCokcS
2409,2409,August 6,Maniac,Michael Sembello,1,September 10,9,0QKfiqpEU4h9ycPSzIFwYe
2410,2410,August 13,It's a Mistake,Men at Work,6,August 20,4,1ArdfXwdvwzapms9p1wxEb
2411,2411,August 13,(Keep Feeling) Fascination,The Human League,8,August 20,3,0ZfZaT7NByalxa6bct5G67
2412,2412,August 20,Puttin' on the Ritz,Taco,4,September 3,6,1taGkdO3DQsNRIQrarhVvc
2413,2413,August 20,I'll Tumble 4 Ya,Culture Club,9,August 27,4,2QaTacWkV0bC68QYNCI3k6
2414,2414,August 27,China Girl,David Bowie,10,August 27,1,5Ei9o2fHEnfHb84YrPuz4v
2415,2415,September 3,The Safety Dance,Men Without Hats,3,September 10,7,4t5lrf5rFX6JWAUPKCDlKk
2416,2416,September 3,Tell Her About It,Billy Joel,1,September 24,7,6kCJMxv445L2okuTiou1fR
2417,2417,September 3,Human Nature,Michael Jackson,7,September 17,4,4cgjA7B4fJBHyB9Ya2bu0t
2418,2418,September 10,Total Eclipse of the Heart,Bonnie Tyler,1,October 1,11,7wuJGgpTNzbUyn26IOY6rj
2419,2419,September 17,Making Love Out of Nothing at All,Air Supply,2,October 8,9,01MXkFA8sL7at6txavDErt
2420,2420,September 17,Don't Cry,Asia,10,September 17,2,3rZLNPadgHyZ2ST4UgrsI1
2421,2421,September 24,(She's) Sexy + 17,Stray Cats,5,October 1,4,5x5FUXjs53WbPuTwT6WD8d
2422,2422,October 1,King of Pain,The Police,3,October 8,5,1V15l05snHYHYVxerjMFGo
2423,2423,October 1,True,Spandau Ballet,4,October 8,6,0CsM8VGDi38kusMv3pxyj1
2424,2424,October 1,Islands in the Stream,Kenny Rogers and Dolly Parton,1,October 29,12,57VxDKegTp0XDErJg2ofKv
2425,2425,October 1,Far from Over,Frank Stallone,10,October 1,2,0mbImplrU76kIvd52GlNbt
2426,2426,October 8,One Thing Leads to Another,The Fixx,4,November 5,7,2d1NMaw8arIU2Fy4BnWqLs
2427,2427,October 15,All Night Long (All Night),Lionel Richie,1,November 12,13,4giIdAr7Plyu5LQzBOR4FP
2428,2428,October 22,Delirious,Prince,8,October 22,4,5zWhtlFS3w52HjN4ayOUgR
2429,2429,October 22,Burning Down the House,Talking Heads,9,October 22,1,2VNfJpwdEQBLyXajaa6LWT
2430,2430,October 22,Telefone (Long Distance Love Affair),Sheena Easton,9,October 29,3,6pzQvHHygI4kYpk2xFIXEo
2431,2431,October 29,Uptown Girl,Billy Joel,3,November 12,10,5zA8vzDGqPl2AzZkEYQGKh
2432,2432,November 5,Say Say Say,Paul McCartney and Michael Jackson,1,December 10,13,1db0gbTSKdRQum8VlbNkiO
2433,2433,November 12,Cum on Feel the Noize,Quiet Riot,5,November 19,5,3vV3cr2TpPqFk07zxYUbla
2434,2434,November 12,Suddenly Last Summer,The Motels,9,November 19,2,63KgFHfcn0ekD58IjEe6sR
2435,2435,November 19,Love Is a Battlefield,Pat Benatar,5,December 10,7,4wYqPn3Kg3vZrkVgW2oqAG
2436,2436,November 19,Say It Isn't So,Hall & Oates,2,December 17,10,1ATq1R2bLeKXOSti9kzj5f
2437,2437,November 26,Heart and Soul,Huey Lewis and the News,8,November 26,2,3pecdrUzTZjaqrw6iCLTvd
2438,2438,November 26,Crumblin' Down,John Cougar Mellencamp,9,November 26,3,4uqmzWlYa0eLKmbcHNgLej
2439,2439,November 26,P.Y.T. (Pretty Young Thing),Michael Jackson,10,November 26,1,1CgmY8fVN7kstVDZmsdM5k
2440,2440,December 3,Church of the Poison Mind,Culture Club,10,December 3,3,2DEEMhTiUMvkiHFdXkrKfI
2441,2441,December 10,Union of the Snake,Duran Duran,3,December 24,6,3JpaL6FMH9kjVWMA1mTmRl
2442,2442,December 24,Undercover of the Night,The Rolling Stones,9,December 24,3,4N8oxV3hvn8Efyo4yxp3LG
2443,2443,December 17,Owner of a Lonely Heart,Yes,1,January 21,10,0GTK6TesV108Jj5D3MHsYb
2444,2444,December 17,Twist of Fate,Olivia Newton-John,5,January 7,7,533BzrB9TWzWH27T9Ra7Um
2445,2445,December 24,Break My Stride,Matthew Wilder,5,January 21,7,1mCsF9Tw4AkIZOjvZbZZdT
2446,2446,January 7,Talking in Your Sleep,The Romantics,3,January 28,7,7fRvtXvJMpGfTLdF0M09a1
2447,2447,January 7,I Guess That's Why They Call It the Blues,Elton John,4,January 28,6,23l1kVpqMVREiwU1YAlcr4
2448,2448,January 14,Karma Chameleon,Culture Club,1,February 4,9,2wSAWEYUHkt92X4SBAPqZE
2449,2449,January 14,Running with the Night,Lionel Richie,7,February 4,5,7EAWB05mZwqsoj08jPRCCu
2450,2450,January 21,Joanna,Kool & the Gang,2,February 11,6,2WiTmNRMk6Rqtc1alR3IkR
2451,2451,January 28,That's All,Genesis,6,February 11,4,2zFdsAIk9r2Mi7Lmm1w3sM
2452,2452,February 4,Think of Laura,Christopher Cross,9,February 4,2,0meJMVapBf2xDoqJmO8fcB
2453,2453,February 4,Pink Houses,John Cougar Mellencamp,8,February 11,2,5JKQMoGmXwDHCodn5pFVHB
2454,2454,February 11,Jump,Van Halen,1,February 25,10,7N3PAbqfTjSEU1edb2tY8j
2455,2455,February 18,99 Luftballons,Nena,2,March 3,6,4ZhPLoMzZwewHLLjV1J15c
2456,2456,February 18,Thriller,Michael Jackson,4,March 3,5,5ChkMS8OtdzJeqyybCc9R5
2457,2457,February 18,Girls Just Want to Have Fun,Cyndi Lauper,2,March 10,8,4y1LsJpmMti1PfRQV9AWWe
2458,2458,February 18,Let the Music Play,Shannon,8,February 25,3,6b9hm8mvZ2KH7Fl7LLA5ct
2459,2459,February 25,Nobody Told Me,John Lennon,5,March 3,4,31QuJZfFiMk1uOawow8ejS
2460,2460,February 25,Wrapped Around Your Finger,The Police,8,March 3,2,400ZJAUFuEuIGXhr7ie4xf
2461,2461,February 25,An Innocent Man,Billy Joel,10,February 25,1,5zA8vzDGqPl2AzZkEYQGKh
2462,2462,March 3,Somebody's Watching Me,Rockwell,2,March 24,8,2H2379xRxgQVvcOSoL8Ajr
2463,2463,March 3,I Want a New Drug,Huey Lewis and the News,6,March 24,5,0mZNKyrUmsrlDRoYHWsyMu
2464,2464,March 10,Here Comes the Rain Again,Eurythmics,4,March 31,7,78RIER8V6EhrqVPOBi2GYa
2465,2465,March 10,Footloose,Kenny Loggins,1,March 31,11,6W2VbtvMrDXm5vYeB7amkO
2466,2466,March 17,New Moon on Monday,Duran Duran,10,March 17,1,74tXc7WOWxEDZahXcyPG9D
2467,2467,March 24,Automatic,The Pointer Sisters,5,April 14,6,6DUKQUhWqUySYngLXLNwP2
2468,2468,March 24,Adult Education,Hall & Oates,8,April 7,4,3sIsG7vDZr17BVimMeZZQS
2469,2469,March 24,Got a Hold on Me,Christine McVie,10,March 24,1,0FCgqHNdcbhGIEmU8r6ZF1
2470,2470,March 31,Against All Odds (Take a Look at Me Now),Phil Collins,1,April 21,10,63CHa6rmamv9OsehkRD8oz
2471,2471,March 31,Miss Me Blind,Culture Club,5,April 21,6,56SnVQVuJuqnYA6rLdcg32
2472,2472,April 7,Hello,Lionel Richie,1,May 12,10,0mHyWYXmmCB9iQyK18m3FQ
2473,2473,April 14,Hold Me Now,Thompson Twins,3,May 5,7,0ELzxemxnjAasucn8Sww3m
2474,2474,April 21,Love Somebody,Rick Springfield,5,May 5,5,1FSkS6h2UVI2LGAXlOYzcY
2475,2475,April 21,They Don't Know,Tracey Ullman,8,April 28,3,0tOkXHcYsR2Y07XiGl0Yme
2476,2476,April 28,You Might Think,The Cars,7,April 28,4,35wVRTJlUu2kDkqXFegOKt
2477,2477,April 28,To All the Girls I've Loved Before,Julio Iglesias and Willie Nelson,5,May 19,6,0uBwcaTkY1BPpIZhxuhS67
2478,2478,May 5,Let's Hear It for the Boy,Deniece Williams,1,May 26,9,4VyU9Tg4drTj2mOUZHSK2u
2479,2479,May 12,Time After Time,Cyndi Lauper,1,June 9,9,7o9uu2GDtVDr9nsR7ZRN73
2480,2480,May 12,Oh Sherrie,Steve Perry,3,June 9,7,4zEi4tr3lEhiAvTRxEzbEz
2481,2481,May 26,The Reflex,Duran Duran,1,June 23,8,4sz1Ng2Cgidfqqiy0pNL6R
2482,2482,May 26,Sister Christian,Night Ranger,5,June 9,4,57trQKFZdJxHia4sMJioWk
2483,2483,May 26,Breakdance,Irene Cara,8,June 9,3,5Y11OSMr5hqiEu8ZJoXU17
2484,2484,June 2,The Heart of Rock & Roll,Huey Lewis and the News,6,June 9,7,0o4e5Tt4vorx2012FrGIjV
2485,2485,June 9,Self Control,Laura Branigan,4,June 30,6,6JNJERZGJwDVgkmbohBw7u
2486,2486,June 9,Jump (For My Love),The Pointer Sisters,3,July 7,8,3L9ClO1W5KmebIXTrlKShF
2487,2487,June 16,Dancing in the Dark,Bruce Springsteen,2,June 30,9,7FwBtcecmlpc1sLySPXeGE
2488,2488,June 16,Borderline,Madonna,10,June 16,1,4FMNpPI7mkhdeFCCk6fZiE
2489,2489,June 23,When Doves Cry,Prince,1,July 7,11,51H2y6YrNNXcy3dfc3qSbA
2490,2490,June 23,Eyes Without a Face,Billy Idol,4,July 14,6,0pUVeEgZuNyFzIMKp67RbS
2491,2491,June 30,Almost Paradise...Love Theme from Footloose,Mike Reno and Ann Wilson,7,July 14,4,3HI7oXJcgIXOhhPBvONWFo
2492,2492,July 7,Legs,ZZ Top,8,July 21,4,7t6CAWplijBj4sdl0q3z0e
2493,2493,July 14,Ghostbusters,Ray Parker Jr.,1,August 11,10,3m0y8qLoznUYi73SUBP8GI
2494,2494,July 21,State of Shock,The Jacksons,3,August 4,6,1sLTxLJzyoBJiPzv420KAx
2495,2495,July 21,Sad Songs (Say So Much),Elton John,5,August 11,5,1fF2dvBsbTk2wrOEaR6f5B
2496,2496,July 21,Infatuation,Rod Stewart,6,July 28,4,3ONQHqfJFlOqD5k0hQNmhH
2497,2497,July 28,What's Love Got to Do with It,Tina Turner,1,September 1,10,3ErsOxqe2RmXkR65wkygDz
2498,2498,August 4,Stuck on You,Lionel Richie,3,August 25,7,0ROwoz82DIW4tOzkxYnSjf
2499,2499,August 4,Breakin'... There's No Stopping Us,Ollie & Jerry,9,August 4,1,2BtIXTKrTGQJeFcIukMR9E
2500,2500,August 4,I Can Dream About You,Dan Hartman,6,August 18,4,37nxLdGbmgEYQYrqe14xOp
2501,2501,August 11,Sunglasses at Night,Corey Hart,7,September 1,5,5uRsBdLhn91AYcsTCOGNOC
2502,2502,August 18,Missing You,John Waite,1,September 22,9,1Qrdlkgg9I4J7r3P4kZNwr
2503,2503,August 18,If Ever You're in My Arms Again,Peabo Bryson,10,August 18,3,4TIkesxpN5caX6XpsiirnH
2504,2504,August 25,She Bop,Cyndi Lauper,3,September 8,8,2FAL6hxj5Qxuj0kWOkEOsF
2505,2505,September 1,Let's Go Crazy,Prince and the Revolution,1,September 29,9,0QeI79sp1vS8L3JgpEO7mD
2506,2506,September 1,If This Is It,Huey Lewis and the News,6,September 15,4,2pAdtQuiEVGr7nOXGiv7t4
2507,2507,September 8,The Warrior,Scandal featuring Patty Smyth,7,September 22,5,2hQnLzly0jRPpLPp23sA4i
2508,2508,September 8,Drive,The Cars,3,September 29,7,2lFFiNm0XtgJ6wkdncTB4k
2509,2509,September 15,The Glamorous Life,Sheila E.,7,October 6,5,179SfVFJ0ZN41toTxnpgRD
2510,2510,September 22,I Just Called to Say I Love You,Stevie Wonder,1,October 13,10,6RNDeRnWsRMjPdNVgupZCs
2511,2511,September 22,Cruel Summer,Bananarama,9,September 29,2,2EGaDf0cPX789H3LNeB03D
2512,2512,September 29,Cover Me,Bruce Springsteen,7,October 20,4,4U7NhC2rQTAhH7dw7H0goB
2513,2513,October 6,Hard Habit to Break,Chicago,3,October 20,6,3Tows9RnoAq9CmMJaII2cO
2514,2514,October 6,Lucky Star,Madonna,4,October 20,5,2hWI9GNr3kBrxZ7Mphho4Q
2515,2515,October 13,Caribbean Queen (No More Love on the Run),Billy Ocean,1,November 3,7,4JEylZNW8SbO4zUyfVrpb7
2516,2516,October 20,On the Dark Side,John Cafferty and the Beaver Brown Band,7,October 27,3,7DhNAYOzIRkEFqimYl2s1G
2517,2517,October 20,Purple Rain,Prince and the Revolution,2,November 17,7,54X78diSLoUDI3joC2bjMz
2518,2518,October 20,I'm So Excited,The Pointer Sisters,9,October 27,2,1ot6jEe4w4hYnsOPjd3xKQ
2519,2519,October 27,Wake Me Up Before You Go-Go,Wham!,1,November 17,8,0ikz6tENMONtK6qGkOrU3c
2520,2520,October 27,Some Guys Have All the Luck,Rod Stewart,10,October 27,1,1UQAOIzqZyH4hZpV7c2KmC
2521,2521,November 3,Blue Jean,David Bowie,8,November 3,2,5vrMM7hAZPQx9955euW6Jb
2522,2522,November 3,Better Be Good to Me,Tina Turner,5,November 24,5,4N5HyZ1PlXuP6sryIa4hOQ
2523,2523,November 3,I Feel for You,Chaka Khan,3,November 24,9,5yR9u8QiOt8hJaddv32oo7
2524,2524,November 10,Out of Touch,Hall & Oates,1,December 8,9,7o67roCVsFiCt7Cf0ZLOJq
2525,2525,November 10,Desert Moon,Dennis DeYoung,10,November 10,1,3MzjEIe5pjA1gFgS95bkdN
2526,2526,November 17,Strut,Sheena Easton,7,November 24,3,6gFIFMI3tsrM5QojcvVMfZ
2527,2527,November 17,All Through the Night,Cyndi Lauper,5,December 8,5,2CIDqYfIYfl9vx02wIyCG9
2528,2528,November 17,Penny Lover,Lionel Richie,8,December 1,4,4J13x9ukE3h3wqwHcAJB0Y
2529,2529,December 1,The Wild Boys,Duran Duran,2,December 15,8,23M7cQkNJLiddeubvVgaQl
2530,2530,December 1,No More Lonely Nights,Paul McCartney,6,December 8,5,3CCBwpqjdar1PG6HHulmD0
2531,2531,December 15,Like a Virgin,Madonna,1,December 22,9,1ZPlNanZsJSPK5h9YZZFbZ
2532,2532,December 8,We Belong,Pat Benatar,5,January 5,7,665Jxlgi1HamPKbW1vwzx4
2533,2533,December 8,Cool It Now,New Edition,4,January 5,6,5LkcAjqj5NOctNGi2qUjlw
2534,2534,December 8,Sea of Love,The Honeydrippers,3,January 5,6,03DQO1cC5RzTWRxJLzJCgy
